taxon_id	antibiotic	genome_id	genome_name	genome_drug.antibiotic	resistant_phenotype	genome_drug.measurement	measurement_value	genome_drug.measurement_unit	laboratory_typing_method	testing_standard	genome_drug.evidence	Specie	Genus
470	doripenem	470.7766	Acinetobacter baumannii strain MRSN7342	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.7026	Klebsiella pneumoniae strain AR_0039	doripenem	Resistant	==4	4	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7685	Acinetobacter baumannii strain MRSN7228	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.42855	Escherichia coli strain MUGSI_258	doripenem	Susceptible	0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
287	doripenem	287.8535	Pseudomonas aeruginosa strain FDA-CDC-AR_0256	doripenem	Susceptible	2	2	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7380	Acinetobacter baumannii strain FDA-CDC-AR_0280	doripenem	Susceptible	2	2	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.28566	Escherichia coli strain AR_0371	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
573	doripenem	573.15108	Klebsiella pneumoniae strain AR_0143	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.20065	Klebsiella pneumoniae strain AR_0046	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7616	Acinetobacter baumannii strain MRSN7127	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7433	Acinetobacter baumannii strain MRSN11698	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7674	Acinetobacter baumannii strain MRSN7216	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.27949	Klebsiella pneumoniae strain Kp33	doripenem	Resistant	>4	4	mg/L	MIC	CLSI		Klebsiella pneumoniae	Klebsiella
562	doripenem	562.34085	Escherichia coli strain AR_0086	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.7658	Acinetobacter baumannii strain MRSN7181	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7635	Acinetobacter baumannii strain MRSN7150	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
287	doripenem	287.5969	Pseudomonas aeruginosa strain AR_0447	doripenem	Susceptible	==1	1	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7694	Acinetobacter baumannii strain MRSN7239	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.20061	Klebsiella pneumoniae strain AR_0160	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.2846	Acinetobacter baumannii strain AR_0035	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.8061	Acinetobacter baumannii strain MRSN7817	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7374	Acinetobacter baumannii strain FDA-CDC-AR_0273	doripenem	Resistant	8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.7028	Klebsiella pneumoniae strain AR_0004	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7390	Acinetobacter baumannii strain FDA-CDC-AR_0290	doripenem	Resistant	8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.17927	Klebsiella pneumoniae strain AR_0080	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.7029	Klebsiella pneumoniae strain AR_0005	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
562	doripenem	562.17621	Escherichia coli strain AR_0150	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
573	doripenem	573.18542	Klebsiella pneumoniae strain AR_0087	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.18086	Klebsiella pneumoniae strain AR376	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.12779	Klebsiella pneumoniae strain AR_0139	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7488	Acinetobacter baumannii strain MRSN11778	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7741	Acinetobacter baumannii strain MRSN7301	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.42761	Escherichia coli strain FDA-CDC-AR_0020	doripenem	Susceptible	0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
573	doripenem	573.15042	Klebsiella pneumoniae strain AR_0158	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
562	doripenem	562.16326	Escherichia coli strain AR_0069	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
562	doripenem	562.42820	Escherichia coli strain MUGSI_106	doripenem	Resistant	4	4	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.7601	Acinetobacter baumannii strain MRSN7100	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7613	Acinetobacter baumannii strain MRSN7124	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.19632	Escherichia coli strain AR_0058	doripenem	Susceptible	==0.25	0.25	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.7667	Acinetobacter baumannii strain MRSN7206	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.30362	Escherichia coli strain AR_0085	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
562	doripenem	562.34088	Escherichia coli strain AR_0067	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
573	doripenem	573.15043	Klebsiella pneumoniae strain AR_0146	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.4901	Acinetobacter baumannii strain AR_0083	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.7032	Klebsiella pneumoniae strain AR_0041	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
287	doripenem	287.2979	Pseudomonas aeruginosa strain AR_0094	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
287	doripenem	287.5689	Pseudomonas aeruginosa strain AR_0356	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.8056	Acinetobacter baumannii strain MRSN7807	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7458	Acinetobacter baumannii strain MRSN11738	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.8069	Acinetobacter baumannii strain MRSN7831	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7495	Acinetobacter baumannii strain MRSN11792	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.12780	Klebsiella pneumoniae strain AR_0145	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.15217	Klebsiella pneumoniae strain AR_0112	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.8037	Acinetobacter baumannii strain MRSN7761	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.4748	Acinetobacter baumannii strain AR_0088	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.7362	Klebsiella pneumoniae strain AR_0049	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.18680	Klebsiella pneumoniae strain AR_362	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.12783	Klebsiella pneumoniae strain AR_0107	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7559	Acinetobacter baumannii strain MRSN15088	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.7023	Klebsiella pneumoniae strain AR_0043	doripenem	Susceptible	==1	1	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7427	Acinetobacter baumannii strain MRSN11683	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.8039	Acinetobacter baumannii strain MRSN7768	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7434	Acinetobacter baumannii strain MRSN11700	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7672	Acinetobacter baumannii strain MRSN7212	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.29008	Escherichia coli strain AR437	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
287	doripenem	287.5686	Pseudomonas aeruginosa strain AR_0354	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7471	Acinetobacter baumannii strain MRSN11757	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.17915	Klebsiella pneumoniae strain AR_0361	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.9722	Klebsiella pneumoniae strain AR_0068	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7695	Acinetobacter baumannii strain MRSN7240	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.20063	Klebsiella pneumoniae strain AR_0097	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.9721	Klebsiella pneumoniae strain AR_0117	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
287	doripenem	287.5752	Pseudomonas aeruginosa strain AR444	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7697	Acinetobacter baumannii strain MRSN7243	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
287	doripenem	287.8528	Pseudomonas aeruginosa strain FDA-CDC-AR_0249	doripenem	Resistant	8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.4881	Acinetobacter baumannii strain AR_0056	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.8060	Acinetobacter baumannii strain MRSN7816	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.25927	Klebsiella pneumoniae strain ST23	doripenem	Susceptible	==1	1	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
287	doripenem	287.5690	Pseudomonas aeruginosa strain AR_0357	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
573	doripenem	573.18087	Klebsiella pneumoniae strain AR438	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
287	doripenem	287.6330	Pseudomonas aeruginosa strain AR_0241	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
562	doripenem	562.28563	Escherichia coli strain AR_0374	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
562	doripenem	562.28567	Escherichia coli strain AR_0370	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.5421	Acinetobacter baumannii strain AR_0052	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7660	Acinetobacter baumannii strain MRSN7184	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.2843	Acinetobacter baumannii strain AR_0036	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.15044	Klebsiella pneumoniae strain AR_0047	doripenem	Resistant	==4	4	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.17908	Klebsiella pneumoniae strain AR_0066	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7589	Acinetobacter baumannii strain MRSN7072	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7461	Acinetobacter baumannii strain MRSN11744	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
287	doripenem	287.5747	Pseudomonas aeruginosa strain AR_0440	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
573	doripenem	573.7027	Klebsiella pneumoniae strain AR_0003	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
562	doripenem	562.19821	Escherichia coli strain AR_0149	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.7552	Acinetobacter baumannii strain MRSN15082	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
287	doripenem	287.5704	Pseudomonas aeruginosa strain AR_0351	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
573	doripenem	573.24429	Klebsiella pneumoniae strain MUGSI_67	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.9724	Klebsiella pneumoniae strain AR_0098	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.2844	Acinetobacter baumannii strain AR_0037	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7748	Acinetobacter baumannii strain MRSN7310	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7381	Acinetobacter baumannii strain FDA-CDC-AR_0281	doripenem	Resistant	8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7546	Acinetobacter baumannii strain MRSN15075	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.29003	Escherichia coli strain AR_0378	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
287	doripenem	287.8549	Pseudomonas aeruginosa strain FDA-CDC-AR_0270	doripenem	Susceptible	2	2	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7416	Acinetobacter baumannii strain MRSN10372	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7736	Acinetobacter baumannii strain MRSN7295	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7594	Acinetobacter baumannii strain MRSN7080	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7499	Acinetobacter baumannii strain MRSN11797	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7428	Acinetobacter baumannii strain MRSN11684	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.42837	Escherichia coli strain MUGSI_206	doripenem	Susceptible	0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.7610	Acinetobacter baumannii strain MRSN7118	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.18093	Klebsiella pneumoniae strain AR_0153	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.8068	Acinetobacter baumannii strain MRSN7829	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7448	Acinetobacter baumannii strain MRSN11722	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.42857	Escherichia coli strain MUGSI_274	doripenem	Susceptible	0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
573	doripenem	573.12772	Klebsiella pneumoniae strain AR_0113	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
287	doripenem	287.5972	Pseudomonas aeruginosa strain AR_455	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7541	Acinetobacter baumannii strain MRSN15068	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.33280	Escherichia coli strain AR_0450	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
573	doripenem	573.27954	Klebsiella pneumoniae strain Kp29	doripenem	Resistant	>4	4	mg/L	MIC	CLSI		Klebsiella pneumoniae	Klebsiella
287	doripenem	287.5971	Pseudomonas aeruginosa strain AR_460	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.5410	Acinetobacter baumannii strain AR_0070	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
287	doripenem	287.5749	Pseudomonas aeruginosa strain AR442	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7556	Acinetobacter baumannii strain MRSN15086	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7543	Acinetobacter baumannii strain MRSN15071	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.12959	Escherichia coli strain AR_0001	doripenem	Resistant	==4	4	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.7519	Acinetobacter baumannii strain MRSN1339	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.18090	Klebsiella pneumoniae strain AR_0141	doripenem	Resistant	==4	4	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7442	Acinetobacter baumannii strain MRSN11712	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.2847	Acinetobacter baumannii strain AR_0045	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.30435	Escherichia coli strain AR_451	doripenem	Susceptible	==1	1	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
573	doripenem	573.12782	Klebsiella pneumoniae strain AR_0148	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7388	Acinetobacter baumannii strain FDA-CDC-AR_0288	doripenem	Resistant	8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.7598	Acinetobacter baumannii strain MRSN7091	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
287	doripenem	287.5687	Pseudomonas aeruginosa strain AR_0353	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
562	doripenem	562.42844	Escherichia coli strain MUGSI_242	doripenem	Susceptible	0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
574	doripenem	574.20	Klebsiella pneumoniae subsp. ozaenae strain AR_0096	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
287	doripenem	287.5750	Pseudomonas aeruginosa strain AR445	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
287	doripenem	287.8546	Pseudomonas aeruginosa strain FDA-CDC-AR_0267	doripenem	Susceptible	2	2	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.7686	Acinetobacter baumannii strain MRSN7229	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.17722	Escherichia coli strain AR_0055	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
562	doripenem	562.28435	Escherichia coli strain AR_0369	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
